name,address,lat,lng,rating,num_ratings,place_id,opening_hours,phone_number,price_level,postal_code,tipo
Kulturiza Shop,"C. de Longares, 30, 28022 Madrid, Spain",40.4293166,-3.6094808,5,2,ChIJbSXuYxcvQg0RFrnYH5oQSLE,"['Monday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",640 68 14 24,N/A,28022,tienda
R´SPIRO CORNER,"Gta. de Yucatán, S/N, 28042 Madrid, Spain",40.4509116,-3.6272671,0,0,ChIJa-Z7xdMvQg0RpS-ccBu8XZc,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",900 155 255,N/A,28043,tienda
Tea Shop,"C. de Arturo Soria, 126, 28043 Madrid, Spain",40.4500796,-3.650471199999999,4.3,99,ChIJibgU5yUvQg0RKQDoCj3kCkw,"['Monday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20098:00\u202fPM']",917 16 04 26,N/A,28043,tienda
Técétera - The Delicious Shop,"C. Emigrantes, 2, 28043 Madrid, Spain",40.4658978,-3.6357615,4.9,72,ChIJ-1oe6ekuQg0R9Wfol94XDI4,"['Monday: 10:15\u202fAM\u2009–\u20092:00\u202fPM, 5:30\u2009–\u20098:30\u202fPM', 'Tuesday: 10:15\u202fAM\u2009–\u20092:00\u202fPM, 5:30\u2009–\u20098:30\u202fPM', 'Wednesday: 10:30\u202fAM\u2009–\u20092:00\u202fPM, 5:30\u2009–\u20098:30\u202fPM', 'Thursday: 10:30\u202fAM\u2009–\u20092:00\u202fPM, 5:30\u2009–\u20098:30\u202fPM', 'Friday: 10:30\u202fAM\u2009–\u20092:00\u202fPM, 5:30\u2009–\u20098:30\u202fPM', 'Saturday: 10:30\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']",911 55 87 69,N/A,28043,tienda
Newi Shop - Bazar Árabe,"Cl. de San Maximiliano, 25, 28017 Madrid, Spain",40.4247185,-3.654064,0,0,ChIJHRo7hCQvQg0R1gCqrUVK3nY,"['Monday: 6:00\u2009–\u20098:30\u202fPM', 'Tuesday: 10:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Wednesday: 10:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Thursday: 10:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Friday: 10:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Saturday: 10:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Sunday: Closed']",671 24 75 71,N/A,28017,tienda
The Body Shop,"Gran Vía de Hortaleza, Local 129, 28033 Madrid, Spain",40.4694276,-3.6406654,4.6,68,ChIJ-RS7v-kuQg0R7UIhiQ6wHJA,"['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20099:00\u202fPM']",913 82 28 19,N/A,28043,tienda
UNICA FASHION SHOP,"C. de Alcalá, 614, 28022 Madrid, Spain",40.44766010000001,-3.6104095,0,0,ChIJ29voP7AvQg0ReN40TM8JkxU,[],N/A,N/A,28022,tienda
Green Hand Horticulture Technical S.L.,"C. de Emilio Ferrari, 32, 28017 Madrid, Spain",40.4328862,-3.6426583,4.8,366,ChIJVZoFYGovQg0R1FjBXF3mXos,"['Monday: 10:30\u202fAM\u2009–\u20092:30\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Tuesday: 10:30\u202fAM\u2009–\u20092:30\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Wednesday: 10:30\u202fAM\u2009–\u20092:30\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Thursday: 10:30\u202fAM\u2009–\u20092:30\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Friday: 10:30\u202fAM\u2009–\u20092:30\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20092:30\u202fPM', 'Sunday: Closed']",916 22 96 07,N/A,28017,tienda
Samplia X Hortaleza (Shop Experience),"C. de Arequipa, 7, 28043 Madrid, Spain",40.4692333,-3.6406287,4.4,34,ChIJSXUKXokvQg0RVl7zO75pz1c,"['Monday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20099:00\u202fPM']",N/A,N/A,28043,tienda
Tienda de Juegos - GENERACION X ELFO,"C. de Elfo, 98, 28027 Madrid, Spain",40.4354144,-3.6462692,4.5,335,ChIJQZHDWz8vQg0R4UhKGoQX0cY,"['Monday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Sunday: Closed']",913 67 53 80,N/A,28027,tienda
La Tienda de España,"C. Milán, 34, planta baja, 28043 Madrid, Spain",40.4586844,-3.6478781,4.6,76,ChIJx1j-MZ8_Qg0RXQ_yNhus7TY,"['Monday: 8:30\u202fAM\u2009–\u20092:00\u202fPM, 4:00\u2009–\u20097:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20092:00\u202fPM, 4:00\u2009–\u20097:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20092:00\u202fPM, 4:00\u2009–\u20097:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20092:00\u202fPM, 4:00\u2009–\u20097:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20092:00\u202fPM, 4:00\u2009–\u20097:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20091:30\u202fPM', 'Sunday: Closed']",628 46 85 12,N/A,28043,tienda
Tecnoboutique,"C. de Alcalá, 383, BAJO;LOCAL, 28027 Madrid, Spain",40.435728,-3.642987,4.1,66,ChIJx0MX7j8vQg0REGseGUT5jys,"['Monday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200912:30\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20099:30\u202fPM']",913 67 61 57,N/A,28027,tienda
"Latendeta Regalos ,Gifts infantil y Juvenil","C. San Herculano, 28022 Madrid, Spain",40.441138,-3.6104045,2.6,5,ChIJXwgYoLwvQg0RMbAx_50TnSM,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",601 02 39 21,N/A,28022,tienda
