name,address,lat,lng,rating,num_ratings,place_id,opening_hours,phone_number,price_level,postal_code,tipo
Restaurante Dareck,"C. de Alcalá, 456, 28027 Madrid, Spain",40.4387658,-3.6342282,4.3,16,ChIJ54ZPTBIvQg0RGGTTnNjrtCc,"['Monday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 8:00\u202fAM\u2009–\u20091:30\u202fAM', 'Sunday: 8:00\u202fAM\u2009–\u20091:30\u202fAM']",916 59 42 97,N/A,28027,restaurante
Restaurante Arrocería de María,"C. de Arturo Soria, 2, 28027 Madrid, Spain",40.4381205,-3.637922,4.1,1247,ChIJ5TdlYxQvQg0R00CwJc_ENWU,"['Monday: 8:00\u202fAM\u2009–\u20094:30\u202fPM, 8:00\u2009–\u200911:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM, 8:00\u2009–\u200911:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM, 8:00\u2009–\u200911:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:30\u202fPM, 8:00\u2009–\u200911:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:30\u202fPM, 8:00\u2009–\u200911:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20094:30\u202fPM, 8:00\u2009–\u200911:30\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20094:30\u202fPM']",913 68 00 27,2,28027,restaurante
Restaurante Machupicchu III,"C. de Alcalá, 493, 28027 Madrid, Spain",40.4403843,-3.62998,2.5,13,ChIJHdVhvJIvQg0R3X7ojVEaXf0,[],N/A,N/A,28037,restaurante
TARAMARA,"Av. de los Arces, 11, 28042 Madrid, Spain",40.4538271,-3.6217544,4.4,1428,ChIJOTssfwAvQg0Rt-mjEA0f0Po,"['Monday: Closed', 'Tuesday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 1:00\u202fPM\u2009–\u20091:00\u202fAM', 'Saturday: 1:00\u202fPM\u2009–\u20091:00\u202fAM', 'Sunday: 1:00\u2009–\u20094:30\u202fPM']",910 58 11 21,3,28043,restaurante
Restaurante ANTALIA,"C. de Albasanz, 16, 28037 Madrid, Spain",40.436068,-3.6308896,4.4,517,ChIJN_jEVw0vQg0Re74HK3I42jc,"['Monday: 6:00\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u20097:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",913 04 65 57,1,28037,restaurante
Bar Restaurante,"C. de Apolo, 28037 Madrid, Spain",40.437617,-3.6363535,4.2,51,ChIJGVHjeRMvQg0RpWXmcPNghdI,"['Monday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u200910:00\u202fPM']",N/A,1,28037,restaurante
Aki T'spero,"C. de Albasanz, 65, 28037 Madrid, Spain",40.438899,-3.6232439,4.1,456,ChIJAQDQXAovQg0R3mXjaCDG_RU,"['Monday: 6:45\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 6:45\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 6:45\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 6:45\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 6:45\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",913 75 03 11,1,28037,restaurante
Koldovinia Taberna Vasca,"C. de Apolo, 2, 28037 Madrid, Spain",40.4380029,-3.6366939,4.3,1873,ChIJTbk6ghMvQg0RAqeL85ujZSc,"['Monday: 12:00\u2009–\u20094:00\u202fPM, 8:30\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 12:00\u2009–\u20094:00\u202fPM, 8:30\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 12:00\u2009–\u20094:00\u202fPM, 8:30\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 12:00\u2009–\u20094:00\u202fPM, 8:30\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 12:00\u2009–\u20094:00\u202fPM, 8:30\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 12:00\u2009–\u20094:00\u202fPM, 8:30\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 12:00\u2009–\u20094:00\u202fPM']",913 93 23 58,2,28037,restaurante
JAIZKIBEL ASADOR MARINERO,"C. de Albasanz, 67, 28037 Madrid, Spain",40.4388938,-3.622778499999999,4.3,747,ChIJ5ftsegovQg0RdMgU3BcyH3k,"['Monday: 11:00\u202fAM\u2009–\u200911:30\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u200911:30\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u200911:30\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200911:30\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200911:30\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']",913 04 16 41,3,28037,restaurante
Restaurante alcalá 414,"C. de Alcalá, 414, 28027 Madrid, Spain",40.437417,-3.6385966,3.4,12,ChIJ8ZTu8BQvQg0RcSFS_BWYZVc,"['Monday: 9:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u200911:00\u202fPM']",914 08 81 67,1,28027,restaurante
Restaurante Persa SaborAzafran,"C. del Gral. Aranaz, 65, 28027 Madrid, Spain",40.4450043,-3.6414346,4.5,902,ChIJPaQV9xcvQg0R51ezQ7VNHno,"['Monday: 12:45\u2009–\u20095:00\u202fPM, 8:45\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: Closed', 'Wednesday: 12:45\u2009–\u20095:00\u202fPM, 8:45\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 12:45\u2009–\u20095:00\u202fPM, 8:45\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 12:45\u2009–\u20095:00\u202fPM, 8:45\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 12:45\u2009–\u20095:00\u202fPM, 8:45\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 12:45\u2009–\u20095:00\u202fPM, 8:45\u202fPM\u2009–\u200912:00\u202fAM']",913 93 29 62,1,28027,restaurante
Mar y Tierra San Blas Canillejas,"C. de Albasanz, 68, 28037 Madrid, Spain",40.4382426,-3.6238779,4.4,239,ChIJlwXzOMwvQg0RHZ2OZk9FQr8,"['Monday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20096:00\u202fPM']",910 05 90 11,2,28037,restaurante
Restaurante Cascanueces,"C. de Albasanz, 11, 28037 Madrid, Spain",40.4367783,-3.630338499999999,4.3,853,ChIJOVUvPA0vQg0RXTPvxVRwaNI,"['Monday: 6:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",913 04 50 98,1,28037,restaurante
