name,address,lat,lng,rating,num_ratings,place_id,opening_hours,phone_number,price_level,postal_code,tipo
Casa Elías,"C. de Julián Camarillo, 46, 28037 Madrid, Spain",40.4376283,-3.6194906,4.1,217,ChIJa9vo5-wvQg0Rkqcz0229--k,"['Monday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20092:30\u202fPM']",913 04 60 05,N/A,28037,supermercado
Carrefour Express,"C. de José del Hierro, 44, 28027 Madrid, Spain",40.439479,-3.6453859,3.7,541,ChIJO6vkdykvQg0RDXvV1ew-Yuk,"['Monday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200910:00\u202fPM']",914 90 89 00,N/A,28027,supermercado
Palacios Alimentación S.A.,"C. de Albarracín, 25, 28037 Madrid, Spain",40.43476,-3.6324134,2.5,2,ChIJPRhKSm0vQg0R7A_JZlzCa6U,"['Monday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 10:30\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']",913 04 03 74,N/A,28037,supermercado
Alimentación Panadería Frutos Secos Bebidas,"C. de Albarracín, 7, 28037 Madrid, Spain",40.4379812,-3.6348862,4.5,2,ChIJK7LPqRMvQg0Rv7fMOurag1Q,"['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200910:00\u202fPM']",N/A,N/A,28037,supermercado
Supercor,"C. de los Hermanos García Noblejas, 25, 28037 Madrid, Spain",40.4335817,-3.634367499999999,3.9,339,ChIJ69fb4mwvQg0RNS03gfo6WIc,"['Monday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u200910:00\u202fPM']",914 06 22 10,N/A,28037,supermercado
Supermercado Coviran,"C. del Río Matarraña, 2, 28027 Madrid, Spain",40.4391153,-3.6340124,3.9,32,ChIJC0CuSRIvQg0Re6E346BXuV8,"['Monday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 9:00\u202fAM\u2009–\u200912:00\u202fAM']",N/A,N/A,28027,supermercado
Mi Hiper Chollo,"C. del Gral. Aranaz, 3, 28027 Madrid, Spain",40.4390028,-3.6358416,5,2,ChIJz327lRMvQg0R6-r1ZI_YIRM,[],N/A,N/A,28027,supermercado
Prensa ABC,"C. de Albarracín, 5, 28037 Madrid, Spain",40.43801089999999,-3.6349073,0,0,ChIJM72MqBMvQg0RAvu9isbFpL8,"['Monday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']",N/A,N/A,28037,supermercado
Supermercados Dia,"C. de Alfonso Gómez, 59, 28037 Madrid, Spain",40.4333807,-3.6255808,4.4,93,ChIJDVIyPa0vQg0RUsB9y22iWsg,"['Monday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20092:30\u202fPM']",912 17 04 53,N/A,28037,supermercado
Supermercados Dia,"C. de Alcalá, 379, 28027 Madrid, Spain",40.4355072,-3.6434537,3.9,390,ChIJre4_iT8vQg0R2rBKP0GPgtc,"['Monday: 8:30\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u200910:00\u202fPM']",912 17 04 53,N/A,28027,supermercado
